,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
75,2025-10-22 20:54:43.001538,-0.1823837161064148,-0.14316299557685852,0.9728986024856567,384.7961120605469,175.60690307617188,0.0,58,155,153,147,-3.7780104,2.8488884,1.2910383,471,452,298,168,0,-182.4638086983914,44.734185297849095,489.63068756721646,381.1768685381034,174.80155753196138,0.0,385.30065604624093,178.4816425757497,0.0,1,1
76,2025-10-22 20:54:43.063838,-0.192582368850708,-0.1571131944656372,0.9716999530792236,387.5804443359375,181.41339111328125,0.0,58,157,153,150,-5.3048043,2.6051807,1.8503454,471,450,298,168,0,-182.91995228974005,44.850795169217484,489.45067194324935,386.84956837256686,182.0073155324407,0.0,390.9733558807044,185.68740057622904,0.0,1,1
77,2025-10-22 20:54:43.123428,-0.192582368850708,-0.14885954558849335,0.9716999530792236,388.6495666503906,180.7787322998047,0.0,58,157,154,149,-4.3547435,3.40314,1.6258786,471,450,298,168,0,-182.6358068802585,44.486285207448894,489.5905947888683,386.59315443819787,177.50683219231612,0.0,390.71694194633534,181.18691723610448,0.0,1,1
78,2025-10-22 20:54:43.182845,-0.18578875064849854,-0.14885954558849335,0.9729321002960205,386.4251708984375,180.12759399414062,0.0,57,156,153,148,-3.8928313,3.716135,1.2953851,471,451,298,168,0,-182.50561665961814,44.53748262378779,489.63185852311113,382.9293326164644,177.46935742784257,0.0,387.0531201246019,181.14944247163092,0.0,1,1
79,2025-10-22 20:54:43.241846,-0.15834756195545197,-0.1571131944656372,0.9729321002960205,375.6156005859375,182.5582275390625,0.0,59,157,154,149,-4.169956,4.592552,1.6133754,470,451,298,168,0,-182.3725937586747,44.50475546341393,489.6882962369624,368.9956103230518,181.59942492455977,0.0,373.11939783118925,185.2795099683481,0.0,1,1
80,2025-10-22 20:54:43.303119,-0.17259016633033752,-0.16637639701366425,0.9697600603103638,376.1632080078125,186.9866943359375,0.0,58,157,154,149,-4.224839,3.954073,1.4208801,471,451,298,168,0,-182.4009278498326,44.488095718397716,489.67979116678055,376.4750397796263,186.5174930976798,0.0,380.59882728776375,190.1975781414681,0.0,1,1
81,2025-10-22 20:54:43.365607,-0.17259016633033752,-0.18213246762752533,0.9697600603103638,376.9781799316406,194.42056274414062,0.0,58,157,154,150,-3.9867468,4.701641,1.7024558,471,451,298,168,0,-182.30007047383876,44.67946124730407,489.6980277883084,376.37742801218207,194.66830258039704,0.0,380.50121552031953,198.34838762418536,0.0,1,1
82,2025-10-22 20:54:43.425330,-0.17259016633033752,-0.19178396463394165,0.9680084586143494,377.7491149902344,200.79469299316406,0.0,58,157,154,152,-4.703251,2.151775,1.909025,472,451,298,168,0,-182.25704691841395,44.63315984231285,489.71738553875065,376.4955575064506,199.67477552457262,0.0,380.61934501458813,203.35486056836095,0.0,1,1
83,2025-10-22 20:54:43.489633,-0.17259016633033752,-0.19178396463394165,0.9667335152626038,378.32806396484375,203.24996948242188,0.0,58,157,153,149,-4.0049357,4.1470203,1.6165044,472,451,298,168,0,-182.29369227396387,44.94621638065907,489.67758848727823,376.6402486123196,200.10789360986917,0.0,380.76403612045715,203.78797865365752,0.0,1,1
84,2025-10-22 20:54:43.551603,-0.18581673502922058,-0.18213246762752533,0.9647928476333618,383.3962097167969,200.26426696777344,0.0,58,156,153,148,-4.363414,5.182287,1.6180665,472,452,298,168,0,-182.26619735765112,44.851057684309964,489.6944185989166,383.50494631432235,195.31272872302068,0.0,387.6287338224598,198.992813766809,0.0,1,1
